"x0","y0","c0","x1","y1","c1","x2","y2","c2","x3","y3","c3","x4","y4","c4","x5","y5","c5","x6","y6","c6","x7","y7","c7","x8","y8","c8","x9","y9","c9","x10","y10","c10","x11","y11","c11","x12","y12","c12","x13","y13","c13","x14","y14","c14","x15","y15","c15","x16","y16","c16","x17","y17","c17","x18","y18","c18","x19","y19","c19","x20","y20","c20","x21","y21","c21","x22","y22","c22","x23","y23","c23","x24","y24","c24"
318.946,153.235,0.918186,326.748,265.423,0.768648,240.633,269.359,0.632178,227.628,409.052,0.764452,0,0,0,414.272,261.511,0.626926,425.971,403.821,0.815526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.968,137.559,0.890885,337.193,133.674,0.900592,281.112,151.93,0.686503,359.41,146.66,0.770618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318.948,153.234,0.918101,325.518,265.49,0.764837,239.335,270.678,0.616139,227.642,411.603,0.777223,0,0,0,415.551,262.829,0.624204,425.972,403.842,0.815284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.97,137.555,0.891301,337.19,134.9,0.90059,281.109,151.924,0.696962,359.402,146.671,0.778203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318.96,153.248,0.912984,326.786,266.719,0.769477,239.33,270.678,0.618195,227.609,410.359,0.796277,0,0,0,415.572,264.122,0.620765,424.71,405.092,0.818922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.98,137.572,0.893584,337.209,133.672,0.903772,281.096,153.179,0.694125,358.154,146.687,0.782863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318.961,153.248,0.91203,326.819,266.727,0.775921,240.636,269.391,0.613133,227.613,410.349,0.797909,0,0,0,416.855,264.143,0.620016,424.719,405.095,0.816278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.977,137.569,0.892062,337.207,133.671,0.903603,281.096,151.937,0.688524,358.156,146.68,0.782262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318.959,153.243,0.913756,326.768,265.463,0.773618,239.342,270.679,0.614238,227.576,410.346,0.805627,0,0,0,416.837,262.818,0.62046,424.722,403.838,0.819014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.976,137.573,0.893247,337.204,133.671,0.90343,281.09,151.93,0.694187,359.38,146.699,0.781428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318.964,153.244,0.912099,326.782,265.442,0.767913,239.359,270.657,0.61997,227.567,410.316,0.80847,0,0,0,416.85,262.807,0.620677,425.954,403.809,0.822576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.988,137.578,0.8928,337.203,133.672,0.902845,281.091,153.171,0.690942,359.378,146.701,0.780345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318.969,153.244,0.910339,326.788,265.473,0.763399,239.371,270.662,0.622082,227.585,410.292,0.803972,0,0,0,416.827,262.809,0.624045,425.959,403.812,0.814758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.977,138.797,0.893256,337.204,133.669,0.902807,281.093,153.184,0.676397,359.384,146.711,0.778647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318.973,153.246,0.908802,326.777,265.442,0.762786,240.658,269.399,0.626287,227.575,409.047,0.808595,0,0,0,415.559,261.546,0.622696,424.733,403.802,0.818549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.984,137.576,0.892963,337.21,133.667,0.904138,281.106,153.195,0.693925,359.383,146.708,0.778907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318.974,153.25,0.905996,326.81,265.46,0.768429,241.932,269.366,0.627297,227.586,410.313,0.808551,0,0,0,415.575,262.807,0.620501,424.732,403.795,0.81653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.985,137.576,0.894129,337.207,133.666,0.903854,281.099,153.189,0.689795,359.383,146.697,0.786551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318.977,153.246,0.90569,326.8,265.478,0.773225,240.642,270.654,0.623673,227.581,410.308,0.805541,0,0,0,415.571,262.831,0.622702,424.729,403.825,0.817377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.981,137.575,0.89382,337.21,133.663,0.903739,281.094,153.184,0.689544,359.388,146.701,0.786891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
